Ragione_Sociale,id,cciaa,nat_giuridica,anno_iscrizione_sezione_startup,anno_iscrizione_registro_imprese,anno_inizio_attivit,ateco_2007,settore,attivita,regione,sezione_attivita,classe_addetti,classe_valore_produzione,alto_valore_tecnologico,classe_capitale_sociale,spese_ricerca_sviluppo,prevalenza_femminile,prevalenza_giovanile,prevalenza_straniera,stato_impresa_label,classificazione,provincia,Macro_Area,Dipendenti_Sintetici,Fatturato_Sintetico,Utile_Sintetico,Prod_Firewall,Prod_Endpoint_Security,Prod_Cloud_Security,Prod_SOC_Gestito
"Ferraris, Iannotti e Ruffini e figli",1785,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,702209,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,VR,Nord,7.0,550901.31,66100.73,0,0,0,0
Bruno-Ubaldi s.r.l.,1786,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2019,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 500 a 1mln euro,SI,Maggioritaria,NO,NO,Attive,software_informatica,VR,Nord,14.0,906322.69,-37661.77,1,1,0,0
Bajamonti-Nolcini Group,1787,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 1 fino a 5mila euro,,NO,Forte,NO,Attive,software_informatica,VR,Nord,5.0,288047.48,16958.07,1,0,0,0
"Ferrabosco, Dulbecco e Spadafora e figli",1788,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 50 a 100mila euro,SI,NO,NO,NO,Attive,software_informatica,VR,Nord,2.0,187932.54,-27239.19,0,0,1,0
Pacomio-Chigi s.r.l.,1789,MN,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,Forte,NO,Attive,software_informatica,MN,Nord,42.0,3690395.96,335613.46,0,0,1,0
Gullotta-Maglio Group,1790,MN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,NO,Forte,NO,Attive,software_informatica,MN,Nord,1.0,98369.95,-3245.46,0,0,1,0
Bellini-Eco Group,1791,PD,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,7211,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 100 a 250mila euro,SI,NO,Forte,NO,Attive,software_rd,PD,Nord,3.0,248614.4,22344.89,0,0,0,0
Stoppani e figli,1792,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2019,2017.0,7211,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 500 a 1mln euro,SI,NO,NO,NO,Attive,software_rd,VR,Nord,4.0,248334.36,-18746.78,0,0,0,0
Monicelli-Brenna e figli,1793,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2015.0,749093,SERVIZI,"M 74 ALTRE ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,NO,Da 10 a 50mila euro,,NO,Esclusiva,NO,Attive,servizi_non_finanziari,VR,Nord,4.0,370320.95,-22759.92,1,1,1,0
Malenchini e figli,1794,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2017.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,VR,Nord,5.0,656775.94,-69244.1,1,0,0,0
"Lucchesi, Pellegrini e Migliaccio SPA",1796,AR,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,74101,SERVIZI,"M 74 ALTRE ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",TOSCANA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,AR,Centro,2.0,212585.73,4848.62,0,1,0,0
"Bova, Tamburini e Navone s.r.l.",1797,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,,Forte,NO,NO,Attive,software_informatica,MI,Nord,5.0,613622.9,-98250.75,0,0,1,0
Grossi e figli,1798,PV,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,749093,SERVIZI,"M 74 ALTRE ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",LOMBARDIA,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,PV,Nord,4.0,500525.95,24885.52,0,1,0,0
"Bajardi, Cutrufo e Morpurgo s.r.l.",1799,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,100.001 - 500.000 euro,SI,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_rd,VR,Nord,2.0,197452.85,17704.18,1,1,0,0
"Bragadin, Bertoli e Peruzzi SPA",1800,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,Non Disponibile,SI,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_rd,VR,Nord,1.0,102592.54,-6361.79,0,0,1,0
Galilei e figli,1801,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,Esclusiva,NO,Attive,software_informatica,VR,Nord,3.0,165168.35,800.14,1,0,0,0
Zamorani-Ramazzotti e figli,1802,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,VR,Nord,3.0,285492.32,-40625.52,0,1,0,0
Mocenigo-Chiesa e figli,1803,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2016,2016,2016.0,620909,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,ott-19,500.001 - 1.000.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,1.0,90084.61,-9456.16,1,1,1,0
Vigliotti e figli,1804,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,100.001 - 500.000 euro,NO,Da 50 a 100mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,13.0,852022.61,-48281.39,0,0,1,1
"Balbi, Morandini e Gregorio SPA",1805,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2019,2019.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,software_rd,VR,Nord,1.0,99061.24,-19363.69,1,0,1,0
"Dovara, Iadanza e Sabbatini s.r.l.",1806,BZ,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",TRENTINO-ALTO ADIGE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 50 a 100mila euro,,NO,NO,NO,Attive,software_informatica,BZ,Nord,3.0,303061.32,663.04,1,1,1,0
"Mascagni, Modugno e Pavanello SPA",1807,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,VR,Nord,26.0,2837267.34,-36444.95,1,1,1,0
"Prodi, Pininfarina e Sgalambro SPA",1808,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,16232,INDUSTRIA/ARTIGIANATO,C 16 INDUSTRIA DEL LEGNO E DEI PRODOTTI IN LEGNO E SUGHERO (ESCLU,VENETO,C ATTIVITA' MANIFATTURIERE,0-4,100.001 - 500.000 euro,NO,Da 50 a 100mila euro,,NO,NO,NO,Attive,industria,VR,Nord,6.0,522763.52,-35650.15,0,0,0,0
"Badoer, Celentano e Praga Group",1809,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,71121,SERVIZI,M 71 ATTIVITA' DEGLI STUDI DI ARCHITETTURA E D'INGEGNERIA; COLLAU,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,servizi_non_finanziari,VR,Nord,2.0,182950.83,-5282.79,0,0,0,0
Savorgnan Group,1810,TN,SOCIETA' PER AZIONI,2017,2018,2016.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,TRENTINO-ALTO ADIGE,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",ott-19,100.001 - 500.000 euro,SI,Da 500 a 1mln euro,,NO,NO,NO,Attive,software_rd,TN,Nord,5.0,415269.52,-70168.18,0,0,0,0
"Maglio, Gangemi e Nitto e figli",1811,TN,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2019,2019.0,282209,INDUSTRIA/ARTIGIANATO,C 28 FABBRICAZIONE DI MACCHINARI ED APPARECCHIATURE NCA,TRENTINO-ALTO ADIGE,C ATTIVITA' MANIFATTURIERE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,industria,TN,Nord,2.0,261210.29,-30760.16,0,0,0,0
"Errigo, Pelli e Innocenti SPA",1813,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,0-100.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,3.0,313403.2,-58381.55,0,1,0,0
Fusani e figli,1814,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,Forte,NO,NO,Attive,software_informatica,MI,Nord,1.0,84207.02,-4457.93,1,1,1,0
"Bertoni, Vanvitelli e Cherubini SPA",1815,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2017,2017.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,12.0,958618.13,-67832.1,1,0,1,1
Galtarossa e figli,1816,TV,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,702209,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,TV,Nord,1.0,58320.47,-937.34,0,0,0,0
Berrè e figli,1818,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,,NO,Forte,NO,Attive,software_informatica,MI,Nord,4.0,354708.03,-3368.93,0,0,1,0
Aporti-Ovadia SPA,1819,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2016,2017.0,3012,INDUSTRIA/ARTIGIANATO,C 30 FABBRICAZIONE DI ALTRI MEZZI DI TRASPORTO,VENETO,C ATTIVITA' MANIFATTURIERE,0-4,1.000.001 - 2.000.000 euro,NO,Da 10 a 50mila euro,,NO,NO,NO,Attive,industria,VR,Nord,23.0,2494205.05,-92980.84,1,1,0,0
Baracca-Omma Group,1821,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2017,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,Esclusiva,NO,Attive,software_informatica,RM,Centro,2.0,220083.62,1774.27,0,0,0,0
Giolitti-Campise SPA,1822,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,7211,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,SI,Da 10 a 50mila euro,,Maggioritaria,NO,NO,Attive,software_rd,VR,Nord,5.0,608648.63,-75703.2,0,0,1,0
"Galvani, Calarco e Bongiorno SPA",1823,RM,SOCIETA' PER AZIONI,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,500.001 - 1.000.000 euro,NO,Più di 5 mln euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,2.0,169537.35,5686.36,0,0,0,0
"Villarosa, Cadorna e Tozzi e figli",1824,RM,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LAZIO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,RM,Centro,5.0,473105.49,-80427.59,0,1,1,0
"Mazzini, Giulietti e Muti Group",1825,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,332003,INDUSTRIA/ARTIGIANATO,"C 33 RIPARAZIONE, MANUTENZIONE ED INSTALLAZIONE DI MACCHINE ED AP",VENETO,C ATTIVITA' MANIFATTURIERE,05-set,500.001 - 1.000.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,industria,VR,Nord,5.0,558024.81,80393.31,1,1,0,0
"Canetta, Ritacca e Blasi SPA",1826,VI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,108909,INDUSTRIA/ARTIGIANATO,C 10 INDUSTRIE ALIMENTARI,VENETO,C ATTIVITA' MANIFATTURIERE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,industria,VI,Nord,5.0,363414.71,21746.71,1,0,1,0
Aloisio-Sgalambro s.r.l.,1827,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6312,SERVIZI,J 63 ATTIVITA' DEI SERVIZI D'INFORMAZIONE E ALTRI SERVIZI INFORMA,LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,2.0,207831.02,-29120.92,0,0,1,0
Rizzoli e figli,1828,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2016,2017.0,749099,SERVIZI,"M 74 ALTRE ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,500.001 - 1.000.000 euro,NO,Da 50 a 100mila euro,,NO,NO,NO,Attive,servizi_non_finanziari,VR,Nord,13.0,988731.75,-53851.81,1,1,0,0
"Perini, Corradi e Fieramosca SPA",1829,UD,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",FRIULI-VENEZIA GIULIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,,NO,Esclusiva,NO,Attive,software_informatica,UD,Nord,4.0,381591.84,-74408.19,0,0,1,0
Boccaccio-Dalla e figli,1830,VI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,2732,INDUSTRIA/ARTIGIANATO,C 27 FABBRICAZIONE DI APPARECCHIATURE ELETTRICHE ED APPARECCHIATU,VENETO,C ATTIVITA' MANIFATTURIERE,0-4,0-100.000 euro,SI,Da 250 a 500mila euro,SI,NO,,NO,Attive,industria,VI,Nord,5.0,447153.03,-23715.0,0,0,1,0
"Jilani, Maffei e Treves e figli",1831,VI,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,,Maggioritaria,Maggioritaria,NO,Attive,software_informatica,VI,Nord,1.0,77002.16,-1553.63,0,0,1,0
Lopresti Group,1832,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,software_informatica,VR,Nord,14.0,1701641.02,-125096.84,1,0,1,0
"Cipolla, Cutrufo e Pascarella Group",1833,RO,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6202,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,RO,Nord,47.0,2846038.3,-109691.64,1,1,1,1
Ostinelli-Paolucci Group,1834,RO,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,Non Disponibile,SI,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_rd,RO,Nord,4.0,351872.77,36786.54,1,1,1,0
"Giacconi, Campano e Zeffirelli e figli",1835,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,64996,SERVIZI,K 64 ATTIVITA' DI SERVIZI FINANZIARI (ESCLUSE LE ASSICURAZIONI E,VENETO,K ATTIVITA' FINANZIARIE E ASSICURATIVE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_finanziari,VR,Nord,2.0,119461.75,4966.43,0,0,1,0
Sgalambro e figli,1836,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,261109,INDUSTRIA/ARTIGIANATO,C 26 FABBRICAZIONE DI COMPUTER E PRODOTTI DI ELETTRONICA E OTTICA,VENETO,C ATTIVITA' MANIFATTURIERE,ott-19,500.001 - 1.000.000 euro,NO,Da 10 a 50mila euro,,NO,Forte,NO,Attive,industria,VR,Nord,4.0,464184.42,-7386.45,0,0,1,0
Gagliano-Sforza SPA,1837,BZ,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,5829,SERVIZI,J 58 ATTIVITA' EDITORIALI,TRENTINO-ALTO ADIGE,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,Non Disponibile,NO,Da 5 a 10mila euro,SI,NO,NO,NO,Attive,servizi_non_finanziari,BZ,Nord,3.0,186211.26,4827.32,1,1,1,0
Deledda-Ferrucci SPA,1838,TV,SOCIETA' A RESPONSABILITA' LIMITATA,2018,2018,2018.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,TV,Nord,3.0,187861.27,-15092.22,0,0,1,0
Borroni Group,1839,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,702209,SERVIZI,M 70 ATTIVITA' DI DIREZIONE AZIENDALE E DI CONSULENZA GESTIONALE,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,100.001 - 500.000 euro,NO,Da 5 a 10mila euro,SI,Forte,NO,NO,Attive,servizi_non_finanziari,VR,Nord,37.0,3535124.49,-47108.19,1,0,0,1
Gravina Group,1840,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2020.0,433909,INDUSTRIA/ARTIGIANATO,F 43 LAVORI DI COSTRUZIONE SPECIALIZZATI,VENETO,F COSTRUZIONI,Non Disponibile,Non Disponibile,NO,Da 1 fino a 5mila euro,SI,NO,NO,NO,Attive,industria,VR,Nord,7.0,434339.08,-61704.35,0,1,0,0
Brancaccio-Cristoforetti Group,1841,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,Non Disponibile,Non Disponibile,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,3.0,308923.65,-34466.52,1,1,0,0
"Trapani, Gilardoni e Lucchesi SPA",1842,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,50-249,2.000.001 - 5.000.000 euro,NO,Da 5 a 10mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,5.0,279901.52,21394.45,0,0,0,0
Toldo-Gualandi e figli,1843,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2021,2021,2021.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",Non Disponibile,Non Disponibile,SI,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_rd,VR,Nord,3.0,279770.32,-5548.42,0,0,1,0
Depero Group,1844,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2017,2017,2017.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",VENETO,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,100.001 - 500.000 euro,NO,Da 1 fino a 5mila euro,,NO,NO,NO,Attive,software_informatica,VR,Nord,2.0,160787.32,-13070.87,0,0,0,0
Borromini-Bonanno s.r.l.,1845,MI,SOCIETA' A RESPONSABILITA' LIMITATA,2019,2019,2019.0,6201,SERVIZI,"J 62 PRODUZIONE DI SOFTWARE, CONSULENZA INFORMATICA E ATTIVITA' C",LOMBARDIA,J SERVIZI DI INFORMAZIONE E COMUNICAZIONE,0-4,0-100.000 euro,NO,Da 10 a 50mila euro,SI,NO,NO,NO,Attive,software_informatica,MI,Nord,13.0,1028526.18,-156223.63,0,0,0,0
"Spinelli, Antonacci e Abate e figli",1846,VR,SOCIETA' A RESPONSABILITA' LIMITATA,2020,2020,2020.0,721909,SERVIZI,M 72 RICERCA SCIENTIFICA E SVILUPPO,VENETO,"M ATTIVITA' PROFESSIONALI, SCIENTIFICHE E TECNICHE",0-4,0-100.000 euro,SI,Da 1 fino a 5mila euro,SI,Esclusiva,NO,NO,Attive,software_rd,VR,Nord,1.0,112541.79,10727.6,0,0,0,0
